time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-03-24T15:34:05.506Z,-7.4873,108.6034,114.644,4.7,mb,44,46,0.946,0.68,us,us6000mkz6,2024-05-27T14:19:23.040Z,"20 km W of Sidareja, Indonesia",earthquake,7.14,4.668,0.09,37,reviewed,us,us
2024-03-02T10:48:44.183Z,-7.0651,106.8453,62.864,4.9,mb,50,45,0.891,0.73,us,us6000mgam,2024-05-10T21:25:58.040Z,"18 km SSW of Sukabumi, Indonesia",earthquake,9.55,5.933,0.088,40,reviewed,us,us
2024-02-07T18:31:00.732Z,-7.4996,106.7717,47.359,4.5,mb,54,105,0.872,0.95,us,us7000lxl2,2024-04-20T19:33:53.040Z,"61 km SSE of Pelabuhanratu, Indonesia",earthquake,7.73,5.693,0.093,34,reviewed,us,us
2024-01-01T13:46:45.922Z,-6.6246,107.7514,10,4.5,mb,31,86,0.839,1.02,us,us6000m0zk,2024-03-09T21:38:27.040Z,"25 km NE of Lembang, Indonesia",earthquake,5.23,1.823,0.15,13,reviewed,us,us
2024-01-01T00:59:19.656Z,-6.8599,107.1224,178.051,4.1,mb,43,97,0.49,0.67,us,us6000m0wb,2024-03-09T21:38:11.040Z,"4 km SSW of Cianjur, Indonesia",earthquake,6.71,5.273,0.102,26,reviewed,us,us
2023-12-31T13:34:21.255Z,-6.7592,107.8299,12.158,4.8,mb,47,56,0.721,0.79,us,us6000m0tt,2024-03-02T21:39:34.040Z,"13 km NW of Sumedang Utara, Indonesia",earthquake,5.88,4.004,0.105,28,reviewed,us,us
2023-12-31T07:35:34.490Z,-6.8551,108.001,10,4.1,mb,17,103,0.697,0.66,us,us6000m2wp,2024-03-02T21:39:37.040Z,"9 km E of Sumedang Utara, Indonesia",earthquake,6.55,1.942,0.157,12,reviewed,us,us
2023-12-27T22:43:56.800Z,-7.7769,107.9533,72.197,5.1,mww,163,26,0.434,0.5,us,us6000m02j,2024-03-02T21:39:32.040Z,"50 km SSW of Singaparna, Indonesia",earthquake,7.86,4.317,0.093,11,reviewed,us,us
2023-12-13T23:35:10.892Z,-6.8597,106.5246,10.4,4.5,mb,35,88,1.267,0.74,us,us7000lit4,2024-02-17T22:43:09.040Z,"14 km NNW of Pelabuhanratu, Indonesia",earthquake,6.52,4.166,0.108,25,reviewed,us,us
2023-12-07T19:00:46.583Z,-6.985,106.5272,8.978,4,mb,14,112,1.211,0.79,us,us7000linu,2024-02-10T23:47:41.040Z,"2 km W of Pelabuhanratu, Indonesia",earthquake,3.91,5.785,0.173,10,reviewed,us,us
2023-11-17T23:34:28.387Z,-7.5528,107.3045,66.025,4.9,mb,99,43,0.354,0.47,us,us6000lp8y,2024-01-26T16:37:51.040Z,"41 km SSW of Banjar, Indonesia",earthquake,9.26,4.739,0.054,108,reviewed,us,us
2023-10-24T18:51:16.947Z,-6.7384,108.4228,237.618,4.2,mb,20,71,0.807,0.84,us,us7000l6x1,2024-01-04T04:22:07.040Z,"3 km S of Palimanan, Indonesia",earthquake,10.04,6.277,0.167,12,reviewed,us,us
2023-10-19T14:08:24.664Z,-7.8723,107.2582,58.526,5.1,mww,73,45,0.563,1.12,us,us6000lglx,2023-12-26T21:24:38.040Z,"77 km SSW of Banjar, Indonesia",earthquake,8.72,4.929,0.08,15,reviewed,us,us
2023-10-01T04:00:24.335Z,-6.9332,106.7791,113.044,5.3,mb,113,33,1.012,0.94,us,us6000lc08,2023-12-14T21:26:50.040Z,"16 km W of Sukabumi, Indonesia",earthquake,7.34,4.938,0.044,171,reviewed,us,us
2023-06-06T07:23:06.974Z,-7.651,107.0857,55.528,4.8,mb,59,44,0.59,0.7,us,us7000k6kz,2023-08-12T17:15:04.040Z,"63 km SW of Banjar, Indonesia",earthquake,6.14,4.579,0.079,49,reviewed,us,us
2023-05-08T23:21:08.281Z,-7.0763,107.2238,117.76,4.4,mb,13,169,0.571,0.46,us,us6000kbf4,2023-07-22T19:17:04.040Z,"26 km WNW of Banjar, Indonesia",earthquake,15.12,8.74,0.268,4,reviewed,us,us
2023-03-29T05:34:42.453Z,-6.9179,106.8713,11.11,4,mb,8,281,0.744,0.52,us,us6000k1rj,2023-06-03T22:06:18.040Z,"6 km W of Sukabumi, Indonesia",earthquake,5.28,6.304,0.259,4,reviewed,us,us
2023-03-22T01:24:16.014Z,-7.1981,107.1377,69.723,4.2,mb,35,129,0.572,0.52,us,us6000k0ad,2023-05-26T21:54:00.040Z,"32 km W of Banjar, Indonesia",earthquake,4.57,6.778,0.118,20,reviewed,us,us
2023-02-03T22:21:44.569Z,-6.0684,106.7474,162.884,4.3,mb,19,161,1.142,0.51,us,us6000jmtk,2023-04-13T21:53:31.040Z,"12 km ENE of Teluknaga, Indonesia",earthquake,10.03,6.369,0.189,8,reviewed,us,us
2023-02-01T15:57:20.415Z,-7.2931,107.6331,10,4.5,mb,42,57,0.467,0.45,us,us6000jks8,2023-04-13T21:53:16.040Z,"24 km ESE of Banjar, Indonesia",earthquake,6.27,1.84,0.108,25,reviewed,us,us
2023-01-27T18:00:35.322Z,-6.892,107.8236,11.576,4.2,mb,21,108,0.219,0.65,us,us6000jm17,2023-04-11T18:51:48.040Z,"9 km ENE of Cileunyi, Indonesia",earthquake,7,3.815,0.159,13,reviewed,us,us
2023-01-23T19:45:00.460Z,-6.8426,106.9767,10.84,4.5,mb,22,121,0.633,0.52,us,us6000jlxv,2023-04-11T18:51:45.040Z,"10 km NNE of Sukabumi, Indonesia",earthquake,6.2,4.533,0.191,8,reviewed,us,us
2023-01-14T20:32:18.287Z,-6.2165,106.681,154.129,4.8,mb,67,54,1.106,0.92,us,us7000j4fe,2024-01-18T19:12:06.875Z,"2 km NW of Ciputat, Indonesia",earthquake,4.19,5.077,0.059,91,reviewed,us,us
